SMILES,PubChem_IUPAC_Name,PubChem_Formula,PubChem_Mass,PubChem_Title,PubChem_Description,ChEMBL_ID,ChEMBL_Name,ChEMBL_Formula,ChEMBL_Weight,ChEMBL_Type,ChEMBL_Phase,ChEMBL_Mechanism,ChEMBL_Target,LD50_studies,LC50_studies,other_tox_studies
F[C@@]12[C@H]([C@H]3[C@@]([C@@]4(OC5(O[C@@H]4C3)CCCC5)C(=O)COC(=O)C)(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@]21C,"[2-[(1S,2S,4R,8S,9S,11S,12R,13S)-12-fluoro-11-hydroxy-9,13-dimethyl-16-oxospiro[5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-diene-6,1'-cyclopentane]-8-yl]-2-oxoethyl] acetate",C28H35FO7,502.23668161,Amcinonide,,CHEMBL1200732,AMCINONIDE,C28H35FO7,502.58,Small molecule,4.0,Glucocorticoid receptor agonist,,0.0,0.0,0.0
S1[C@H]2N([C@H](C1(C)C)C(=O)O)C(=O)[C@H]2/N=C/N1CCCCCC1,,,,,,CHEMBL530,AMDINOCILLIN,C15H23N3O3S,325.43,Small molecule,4.0,Bacterial penicillin-binding protein 2 inhibitor,,,,
O([C@H]1[C@H](NC(=O)[C@@H](O)CCN)C[C@H](N)[C@@H](O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)CN)[C@@H]1O)[C@H]1O[C@@H]([C@@H](O)[C@H](N)[C@H]1O)CO,"(2S)-4-amino-N-[(1R,2S,3S,4R,5S)-5-amino-2-[(2S,3R,4S,5S,6R)-4-amino-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2R,3R,4S,5S,6R)-6-(aminomethyl)-3,4,5-trihydroxyoxan-2-yl]oxy-3-hydroxycyclohexyl]-2-hydroxybutanamide",C22H43N5O13,585.28573644,Amikacin,,CHEMBL177,AMIKACIN,C22H43N5O13,585.61,Small molecule,4.0,,,0.0,0.0,0.0
O=C1NC(=O)CC[C@@]1(CC)c1ccc(N)cc1,"(3S)-3-(4-aminophenyl)-3-ethylpiperidine-2,6-dione",C13H16N2O2,232.121177757,(S)-aminoglutethimide,,CHEMBL488,AMINOGLUTETHIMIDE,C13H16N2O2,232.28,Small molecule,4.0,Cytochrome P450 19A1 inhibitor,,0.0,0.0,0.0
O=C(NCC(=O)O)c1ccc(N)cc1,2-[(4-aminobenzoyl)amino]acetic acid,C9H10N2O3,194.06914219,Aminohippuric acid,,CHEMBL463,AMINOHIPPURIC ACID,C9H10N2O3,194.19,Small molecule,4.0,,,0.0,0.0,0.0
O=C(CCC(=O)O)CN,5-amino-4-oxopentanoic acid,C5H9NO3,131.058243149,Aminolevulinic Acid,,CHEMBL18851,,C5H9NO3,133.14,Small molecule,,,,0.0,0.0,0.0
OC(C)(C)C#N,2-hydroxy-2-methylpropanenitrile,C4H7NO,85.052763847,Acetone cyanohydrin,,CHEMBL1231861,DIMETHYLKETONE CYANOHYDRIN,C4H7NO,85.11,Small molecule,,,,0.0,0.0,0.0
S1c2c(N(CCCN3CCN(CC3)CCO)c3c1cccc3)cc(cc2)C(=O)C,1-[10-[3-[4-(2-hydroxyethyl)piperazin-1-yl]propyl]phenothiazin-2-yl]ethanone,C23H29N3O2S,411.19804835,Acetophenazine,,CHEMBL1085,ACETOPHENAZINE,C23H29N3O2S,411.57,Small molecule,4.0,,,0.0,0.0,0.0
O(CC[N+](C)(C)C)C(=O)C,2-acetyloxyethyl(trimethyl)azanium,C7H16NO2+,146.118103753,Acetylcholine,,CHEMBL667,ACETYLCHOLINE,C7H16NO2+,146.21,Small molecule,4.0,,,0.0,0.0,0.0
O([C@H]1C[C@@](O)([C@@H](c2c1c(O)c1c(c2)C(=O)c2c(C1=O)c(O)ccc2)C(=O)OC)CC)[C@@H]1O[C@H]([C@@H](O[C@@H]2O[C@H]([C@@H](O[C@@H]3O[C@H](C(=O)CC3)C)[C@@H](O)C2)C)[C@@H](N(C)C)C1)C,"methyl (1R,2R,4S)-4-[(2R,4S,5S,6S)-4-(dimethylamino)-5-[(2S,4S,5S,6S)-4-hydroxy-6-methyl-5-[(2R,6S)-6-methyl-5-oxooxan-2-yl]oxyoxan-2-yl]oxy-6-methyloxan-2-yl]oxy-2-ethyl-2,5,7-trihydroxy-6,11-dioxo-3,4-dihydro-1H-tetracene-1-carboxylate",C42H53NO15,811.34151998,Aclarubicin,,CHEMBL45414,,C42H53NO15,811.88,Small molecule,,,,0.0,0.0,0.0
O(c1c([C@]23C[C@@H]4C[C@H](C2)C[C@H](C3)C4)cc(cc1)c1cc2c(cc1)cc(cc2)C(=O)O)C,6-[3-(1-adamantyl)-4-methoxyphenyl]naphthalene-2-carboxylic acid,C28H28O3,412.20384475,Adapalene,,CHEMBL1265,ADAPALENE,C28H28O3,412.53,Small molecule,4.0,Retinoic acid receptor agonist,,0.0,0.0,0.0
P(=O)(OCOC(=O)C(C)(C)C)(OCOC(=O)C(C)(C)C)COCCn1c2ncnc(N)c2nc1,"[2-(6-aminopurin-9-yl)ethoxymethyl-(2,2-dimethylpropanoyloxymethoxy)phosphoryl]oxymethyl 2,2-dimethylpropanoate",C20H32N5O8P,501.19884999,Adefovir Dipivoxil,,CHEMBL922,ADEFOVIR DIPIVOXIL,C20H32N5O8P,501.48,Small molecule,4.0,DNA polymerase/reverse transcriptase inhibitor,,0.0,0.0,0.0
O1[C@@H](n2c3ncnc(N)c3nc2)[C@H](O)[C@H](O)[C@H]1CO,"(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",C10H13N5O4,267.09675391,Adenosine,,CHEMBL477,ADENOSINE,C10H13N5O4,267.25,Small molecule,4.0,Adenosine receptor agonist,,0.0,0.0,0.0
O(c1c(/C=C/2\CCCN=C2c2cccnc2)ccc(OC)c1)C,,,,,,CHEMBL134713,GTS-21,C19H20N2O2,308.38,Small molecule,2.0,Neuronal acetylcholine receptor protein alpha-7 subunit agonist,,,,
S(C[C@H](C(=O)N1[C@@H](CCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C)C(=O)C,(2S)-2-[[(2S)-1-[(2S)-3-acetylsulfanyl-2-methylpropanoyl]pyrrolidine-2-carbonyl]amino]-3-phenylpropanoic acid,C20H26N2O5S,406.15624311,Alacepril,,CHEMBL91800,,C20H26N2O5S,406.50,Small molecule,,,,0.0,0.0,0.0
S(c1cc2[nH]c(nc2cc1)NC(=O)OC)CCC,methyl N-(6-propylsulfanyl-1H-benzimidazol-2-yl)carbamate,C12H15N3O2S,265.08849790,Albendazole,,CHEMBL1483,ALBENDAZOLE,C12H15N3O2S,265.34,Small molecule,4.0,Tubulin inhibitor,,0.0,0.0,0.0
N1(CCC(=C2c3c(CCc4c2nccc4)cccc3)CC1)C,,,,,,CHEMBL946,AZATADINE,C20H22N2,290.41,Small molecule,4.0,,,,,
S(c1n(cnc1N(=O)=O)C)c1ncnc2nc[nH]c12,6-(3-methyl-5-nitroimidazol-4-yl)sulfanyl-7H-purine,C9H7N7O2S,277.03819367,Azathioprine,,CHEMBL1542,AZATHIOPRINE,C9H7N7O2S,277.27,Small molecule,4.0,Amidophosphoribosyltransferase inhibitor,,0.0,0.0,0.0
Clc1ccc(Cc2nn([C@H]3CCCN(CC3)C)c(=O)c3c2cccc3)cc1,4-[(4-chlorophenyl)methyl]-2-[(4S)-1-methylazepan-4-yl]phthalazin-1-one,C22H24ClN3O,381.1607901,(S)-Azelastine,,CHEMBL639,AZELASTINE,C22H24ClN3O,381.91,Small molecule,4.0,,,,,
O([C@@H]1[C@H]([C@H](O[C@@H]2O[C@H]([C@H](O)[C@](OC)(C2)C)C)[C@H](C(=O)O[C@@H]([C@@](O)([C@H](O)[C@H](N(C[C@@H](C[C@]1(O)C)C)C)C)C)CC)C)C)[C@@H]1O[C@@H](C[C@H](N(C)C)[C@H]1O)C,"(2R,3S,4R,5R,8R,10R,11R,12S,13S,14R)-11-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-2-ethyl-3,4,10-trihydroxy-13-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy-3,5,6,8,10,12,14-heptamethyl-1-oxa-6-azacyclopentadecan-15-one",C38H72N2O12,748.50852574,Azithromycin,,CHEMBL529,AZITHROMYCIN,C38H72N2O12,749.00,Small molecule,4.0,Bacterial 70S ribosome inhibitor,,0.0,0.0,0.0
S1[C@H]2N([C@H](C1(C)C)C(=O)O)C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCNC1=O)c1ccccc1,"(2S,5R,6R)-3,3-dimethyl-7-oxo-6-[[(2R)-2-[(2-oxoimidazolidine-1-carbonyl)amino]-2-phenylacetyl]amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",C20H23N5O6S,461.13690464,Azlocillin,,CHEMBL417013,,C20H23N5O6S,461.50,Small molecule,,,,0.0,0.0,0.0
S(=O)(=O)(O)N1[C@H]([C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)/c2nc(sc2)N)C1=O)C,,,,,,CHEMBL158,AZTREONAM,C13H17N5O8S2,435.44,Small molecule,4.0,Bacterial penicillin-binding protein inhibitor,,,,
S1[C@H]2N([C@H](C1(C)C)C(=O)O[C@@H](OC(=O)OCC)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1,"[(1S)-1-ethoxycarbonyloxyethyl] (2S,5R,6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",C21H27N3O7S,465.15697138,"[(1S)-1-ethoxycarbonyloxyethyl] (2S,5R,6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",,CHEMBL1583,BACAMPICILLIN,C21H27N3O7S,465.53,Small molecule,4.0,,,,,
S1C(=N[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)N[C@@H]([C@@H](CC)C)C(=O)N[C@H]2CCCCNC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CCCN)[C@@H](CC)C)Cc2ccccc2)Cc2[nH]cnc2)CC(=O)O)CC(=O)N)CCC(=O)O)C1)[C@@H](N)[C@@H](CC)C,,,,,,CHEMBL1200558,BACITRACIN,C66H103N17O16S,1422.72,Protein,4.0,C55-isoprenyl pyrophosphate inhibitor,,,,
Clc1ccc([C@@H](CC(=O)O)CN)cc1,(3R)-4-amino-3-(4-chlorophenyl)butanoic acid,C10H12ClNO2,213.0556563,Arbaclofen,,CHEMBL701,BACLOFEN,C10H12ClNO2,213.66,Small molecule,4.0,GABA-B receptor agonist,,0.0,0.0,0.0
O=C(NCCC(=O)O)c1ccc(N/N=C/2\C=C(C(=O)C=C2)C(=O)O)cc1,,,,,,,,,,,,,,,,
S=C=Nc1c2c(ccc1)cccc2,1-isothiocyanatonaphthalene,C11H7NS,185.02992040,1-Naphthyl isothiocyanate,,CHEMBL1381098,1-NAPHTHYLISOTHIOCYANATE,C11H7NS,185.25,Small molecule,,,,0.0,0.0,0.0
c1(c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C,"2-methyl-1,3,5-trinitrobenzene",C7H5N3O6,227.01783489,Trinitrotoluene,,CHEMBL1236345,TRINITROTOLUENE,C7H5N3O6,227.13,Small molecule,,,,,,
c1(c(cc(cc1)[N+](=O)[O-])[N+](=O)[O-])O,"2,4-dinitrophenol",C6H4N2O5,184.01202123,"2,4-Dinitrophenol",,CHEMBL273386,"2,4-DINITROPHENOL",C6H4N2O5,184.11,Small molecule,2.0,,,0.0,0.0,0.0
O(CCO)CC,2-ethoxyethanol,C4H10O2,90.068079557,2-Ethoxyethanol,,CHEMBL119596,2-ETHOXYETHANOL,C4H10O2,90.12,Small molecule,,,,0.0,0.0,0.0
Oc1cc2c(cc1)cccc2,naphthalen-2-ol,C10H8O,144.057514874,2-Naphthol,,CHEMBL14126,BETANAPHTHOL,C10H8O,144.17,Small molecule,-1.0,,,0.0,0.0,0.0
Clc1ccc(C[C@@H](NC(=O)[C@H](NC(=O)C)Cc2cc3c(cc2)cccc3)C(=O)N[C@@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2[C@@H](CCC2)C(=O)N[C@H](C)C(=O)N)CCCCNC(C)C)CC(C)C)CC(=O)N)Cc2ccc(O)cc2)C)CO)Cc2cccnc2)cc1,(2R)-2-[[(2S)-2-[[(2S)-2-[[(2R)-2-[[(2R)-2-[[(2R)-2-acetamido-3-naphthalen-2-ylpropanoyl]amino]-3-(4-chlorophenyl)propanoyl]amino]-3-pyridin-3-ylpropanoyl]amino]-3-hydroxypropanoyl]-methylamino]-3-(4-hydroxyphenyl)propanoyl]amino]-N-[(2S)-1-[[(2S)-1-[(2S)-2-[[(2R)-1-amino-1-oxopropan-2-yl]carbamoyl]pyrrolidin-1-yl]-1-oxo-6-(propan-2-ylamino)hexan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]butanediamide,C72H95ClN14O14,1414.6840715,Abarelix,,CHEMBL1252,ABARELIX,C72H95ClN14O14,1416.09,Protein,4.0,Gonadotropin-releasing hormone receptor antagonist,,0.0,0.0,0.0
O([C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]1CO)O[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@@H]1CO)O)[C@H]1O[C@@H]([C@@H](N[C@@H]2[C@H](O)[C@@H](O)[C@H](O)C(=C2)CO)[C@H](O)[C@H]1O)C,"(2R,3R,4R,5S,6R)-5-[(2R,3R,4R,5S,6R)-5-[(2R,3R,4S,5S,6R)-3,4-dihydroxy-6-methyl-5-[[(1S,4R,5S,6S)-4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl]amino]oxan-2-yl]oxy-3,4-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-6-(hydroxymethyl)oxane-2,3,4-triol",C25H43NO18,645.24801352,Precose,,CHEMBL181568,,C25H43NO18,645.61,Small molecule,,,,0.0,0.0,0.0
O(C[C@@H](O)CNC(C)C)c1c(cc(NC(=O)CCC)cc1)C(=O)C,N-[3-acetyl-4-[(2S)-2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]butanamide,C18H28N2O4,336.20490738,"Acebutolol, (S)-",,CHEMBL642,ACEBUTOLOL,C18H28N2O4,336.43,Small molecule,4.0,,,0.0,0.0,0.0
Clc1ccc(C(=O)n2c(c(c3c2ccc(OC)c3)CC(=O)OCC(=O)O)C)cc1,2-[2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetyl]oxyacetic acid,C21H18ClNO6,415.0822650,Acemetacin,,CHEMBL189171,ACEMETACIN,C21H18ClNO6,415.83,Small molecule,4.0,Cyclooxygenase inhibitor,,0.0,0.0,0.0
S(=O)(=O)(N)c1sc(NC(=O)C)nn1,"N-(5-sulfamoyl-1,3,4-thiadiazol-2-yl)acetamide",C4H6N4O3S2,221.98813241,Acetazolamide,,CHEMBL20,ACETAZOLAMIDE,C4H6N4O3S2,222.25,Small molecule,4.0,Carbonic anhydrase I inhibitor,,0.0,0.0,0.0
Clc1c2CN3C(=NC(=O)C3)Nc2ccc1Cl,"6,7-dichloro-3,5-dihydro-1H-imidazo[2,1-b]quinazolin-2-one",C10H7Cl2N3O,254.9966172,Anagrelide,,CHEMBL760,ANAGRELIDE,C10H7Cl2N3O,256.09,Small molecule,4.0,,,0.0,0.0,0.0
n1(ncnc1)Cc1cc(C(C)(C)C#N)cc(C(C)(C)C#N)c1,"2-[3-(2-cyanopropan-2-yl)-5-(1,2,4-triazol-1-ylmethyl)phenyl]-2-methylpropanenitrile",C17H19N5,293.16404563,Anastrozole,,CHEMBL1399,ANASTROZOLE,C17H19N5,293.37,Small molecule,4.0,Cytochrome P450 19A1 inhibitor,,0.0,0.0,0.0
O[C@H]1[C@H](CN2[C@@H]1C(=O)N[C@H](O)[C@H](O)C[C@H](NC(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(OCCCCC)cc1)C(=O)N[C@H](C(=O)N1[C@@H](C[C@@H](O)C1)C(=O)N[C@H](C(=O)N[C@H](C2=O)[C@H](O)C)[C@H](O)[C@@H](O)c1ccc(O)cc1)[C@H](O)C)C,"N-[(3S,6S,9S,11R,15S,18S,20R,21R,24S,25S,26S)-6-[(1S,2S)-1,2-dihydroxy-2-(4-hydroxyphenyl)ethyl]-11,20,21,25-tetrahydroxy-3,15-bis[(1R)-1-hydroxyethyl]-26-methyl-2,5,8,14,17,23-hexaoxo-1,4,7,13,16,22-hexazatricyclo[22.3.0.09,13]heptacosan-18-yl]-4-[4-(4-pentoxyphenyl)phenyl]benzamide",C58H73N7O17,1139.50629389,Anidulafungin,,CHEMBL264241,ANIDULAFUNGIN,C58H73N7O17,1140.25,Small molecule,4.0,"1,3-beta-glucan synthase inhibitor",,0.0,0.0,0.0
O=C1N(CCC1)C(=O)c1ccc(OC)cc1,1-(4-methoxybenzoyl)pyrrolidin-2-one,C12H13NO3,219.08954328,Aniracetam,,CHEMBL36994,ANIRACETAM,C12H13NO3,219.24,Small molecule,2.0,,,0.0,0.0,0.0
O=C1[C@@H](C(=O)c2c1cccc2)c1ccc(OC)cc1,"2-(4-methoxyphenyl)indene-1,3-dione",C16H12O3,252.078644241,Anisindione,,CHEMBL712,ANISINDIONE,C16H12O3,252.27,Small molecule,4.0,Vitamin K-dependent gamma-carboxylase inhibitor,,0.0,0.0,0.0
O([C@H]1C[C@@H]2[N+]([C@@H](CC2)C1)(C)C)C(=O)C(CCC)CCC,"[(1S,5R)-8,8-dimethyl-8-azoniabicyclo[3.2.1]octan-3-yl] 2-propylpentanoate",C17H32NO2+,282.243304264,Octatropine methylbromide,,CHEMBL368108,,C17H32NO2+,282.45,Small molecule,,,,0.0,0.0,0.0
Oc1c2c3c4[C@H](N(CCc4ccc3)C)Cc2ccc1O,"(6aR)-6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol",C17H17NO2,267.125928785,Apomorphine,,CHEMBL53,APOMORPHINE,C17H17NO2,267.33,Small molecule,4.0,,,0.0,0.0,0.0
Clc1c(NC2=NCCN2)c(Cl)cc(N)c1,"2,6-dichloro-1-N-(4,5-dihydro-1H-imidazol-2-yl)benzene-1,4-diamine",C9H10Cl2N4,244.0282517,Apraclonidine,,CHEMBL647,APRACLONIDINE,C9H10Cl2N4,245.11,Small molecule,4.0,,,0.0,0.0,0.0
Fc1ccc([C@H]2N(CCO[C@H]2O[C@@H](c2cc(cc(c2)C(F)(F)F)C(F)(F)F)C)Cc2[nH][nH]c(=O)n2)cc1,"3-[[(2S,3R)-2-[(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy]-3-(4-fluorophenyl)morpholin-4-yl]methyl]-1,4-dihydro-1,2,4-triazol-5-one",C23H21F7N4O3,534.15018768,"(1R,2S,3R)-Aprepitant",,CHEMBL1471,APREPITANT,C23H21F7N4O3,534.43,Small molecule,4.0,Neurokinin 1 receptor antagonist,,,,
N([C@H]1Cc2c(C1)cccc2)(CCCN(CC)CC)c1ccccc1,"N'-(2,3-dihydro-1H-inden-2-yl)-N,N-diethyl-N'-phenylpropane-1,3-diamine",C22H30N2,322.240898965,Aprindine,,CHEMBL1213033,APRINDINE,C22H30N2,322.50,Small molecule,2.0,,,0.0,0.0,0.0
S=C(N/N=C/c1ccc(NC(=O)C)cc1)N,,,,,,CHEMBL375492,AMITHIOZONE,C10H12N4OS,236.30,Small molecule,2.0,,,,,
o1c2c(cc(C(C)C)cc2)c(=O)c2c1nc(N)c(c2)C(=O)O,"2-amino-5-oxo-7-propan-2-ylchromeno[2,3-b]pyridine-3-carboxylic acid",C16H14N2O4,298.09535693,Amlexanox,,CHEMBL1096,AMLEXANOX,C16H14N2O4,298.30,Small molecule,4.0,Phosphodiesterase 4 inhibitor,,0.0,0.0,0.0
Clc1cc2nccc(Nc3cc(CN(CC)CC)c(O)cc3)c2cc1,4-[(7-chloroquinolin-4-yl)amino]-2-(diethylaminomethyl)phenol,C20H22ClN3O,355.1451400,Amodiaquine,,CHEMBL682,AMODIAQUINE,C20H22ClN3O,355.87,Small molecule,4.0,,,0.0,0.0,0.0
O=c1n(CCN(C)C)c(=O)c2c3c1cc(N)cc3ccc2,"5-amino-2-[2-(dimethylamino)ethyl]benzo[de]isoquinoline-1,3-dione",C16H17N3O2,283.132076794,Amonafide,,CHEMBL428676,AMONAFIDE,C16H17N3O2,283.33,Small molecule,3.0,,,0.0,0.0,0.0
Clc1cc2C(=Nc3c(Oc2cc1)cccc3)N1CCNCC1,"8-chloro-6-piperazin-1-ylbenzo[b][1,4]benzoxazepine",C17H16ClN3O,313.0981898,Amoxapine,,CHEMBL1113,AMOXAPINE,C17H16ClN3O,313.79,Small molecule,4.0,Serotonin transporter inhibitor,,0.0,0.0,0.0
N[C@@H](Cc1ccccc1)C,(2R)-1-phenylpropan-2-amine,C9H13N,135.104799419,Levamfetamine,,CHEMBL405,AMPHETAMINE,C9H13N,135.21,Small molecule,4.0,Dopamine transporter releasing agent,,0.0,0.0,0.0
O1[C@@]2(O)C[C@H](O)[C@H]([C@@H]1C[C@@H](O[C@@H]1O[C@@H]([C@@H](O)[C@H](N)[C@@H]1O)C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H]([C@@H](O)[C@H]([C@@H](OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C2)C)C)C)C(=O)O,,,,,,CHEMBL267345,AMPHOTERICIN B,C47H73NO17,924.09,Small molecule,4.0,Ergosterol sequestering agent,,,,
S1[C@H]2N([C@H](C1(C)C)C(=O)O)C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1,"(2S,5R,6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",C16H19N3O4S,349.10962727,Ampicillin,,CHEMBL174,AMPICILLIN,C16H19N3O4S,349.41,Small molecule,4.0,Bacterial penicillin-binding protein inhibitor,,0.0,0.0,0.0
